Order Id,order date (DateOrders),Order Status,Customer Id,Customer Fname,Customer Lname,Customer Segment,Customer City,Customer Country,Market,Order Region,Product Card Id,Product Name,Category Name,Product Price,Sales,Order Item Quantity,Order Item Discount,Order Item Total,Benefit per order,Order Profit Per Order
77202,2018-01-31 22:56:00,COMPLETE,20755,Cally,Holloway,Consumer,Caguas,Puerto Rico,Pacific Asia,Southeast Asia,1360,Smart watch,Sporting Goods,327.75,327.75,1,13.10999966,314.6400146,91.25,91.25
75939,2018-01-13 12:27:00,PENDING,19492,Irene,Luna,Consumer,Caguas,Puerto Rico,Pacific Asia,South Asia,1360,Smart watch,Sporting Goods,327.75,327.75,1,16.38999939,311.3599854,-249.0899963,-249.0899963
75938,2018-01-13 12:06:00,CLOSED,19491,Gillian,Maldonado,Consumer,San Jose,EE. UU.,Pacific Asia,South Asia,1360,Smart watch,Sporting Goods,327.75,327.75,1,18.03000069,309.7200012,-247.7799988,-247.7799988
75937,2018-01-13 11:45:00,COMPLETE,19490,Tana,Tate,Home Office,Los Angeles,EE. UU.,Pacific Asia,Oceania,1360,Smart watch,Sporting Goods,327.75,327.75,1,22.94000053,304.8099976,22.86000061,22.86000061
75936,2018-01-13 11:24:00,PENDING_PAYMENT,19489,Orli,Hendricks,Corporate,Caguas,Puerto Rico,Pacific Asia,Oceania,1360,Smart watch,Sporting Goods,327.75,327.75,1,29.5,298.25,134.2100067,134.2100067
75935,2018-01-13 11:03:00,CANCELED,19488,Kimberly,Flowers,Consumer,Tonawanda,EE. UU.,Pacific Asia,Oceania,1360,Smart watch,Sporting Goods,327.75,327.75,1,32.77999878,294.980011,18.57999992,18.57999992
75934,2018-01-13 10:42:00,COMPLETE,19487,Constance,Terrell,Home Office,Caguas,Puerto Rico,Pacific Asia,Eastern Asia,1360,Smart watch,Sporting Goods,327.75,327.75,1,39.33000183,288.4200134,95.18000031,95.18000031
75933,2018-01-13 10:21:00,PROCESSING,19486,Erica,Stevens,Corporate,Miami,EE. UU.,Pacific Asia,Eastern Asia,1360,Smart watch,Sporting Goods,327.75,327.75,1,42.61000061,285.1400146,68.43000031,68.43000031
75932,2018-01-13 10:00:00,CLOSED,19485,Nichole,Olsen,Corporate,Caguas,Puerto Rico,Pacific Asia,Eastern Asia,1360,Smart watch,Sporting Goods,327.75,327.75,1,49.15999985,278.5899963,133.7200012,133.7200012
75931,2018-01-13 09:39:00,CLOSED,19484,Oprah,Delacruz,Corporate,San Ramon,EE. UU.,Pacific Asia,Eastern Asia,1360,Smart watch,Sporting Goods,327.75,327.75,1,52.43999863,275.3099976,132.1499939,132.1499939
