id,employee_id,customer_id,order_date,shipped_date,shipper_id,ship_name,ship_address,ship_city,ship_state_province,ship_zip_postal_code,ship_country_region,shipping_fee,taxes,payment_type,paid_date,notes,tax_rate,tax_status_id,status_id
1,3,13,2025-02-20 00:00:00,2025-02-26 00:00:00,3,Ship Name 1,8078 Delivery Street,Houston,NY,45818,USA,15.85,14.35,Check,2025-02-25 00:00:00,Order 1 special instructions,0.0549,4,9
2,9,7,2024-04-04 00:00:00,2024-04-05 00:00:00,5,Ship Name 2,4084 Delivery Street,Phoenix,CA,73108,USA,29.46,80.01,Check,2024-04-08 00:00:00,Order 2 special instructions,0.0599,6,1
3,8,9,2025-11-26 00:00:00,2025-12-02 00:00:00,8,Ship Name 3,6422 Delivery Street,Houston,TX,28795,USA,28.68,52.57,Wire Transfer,2025-11-29 00:00:00,Order 3 special instructions,0.0664,9,2
4,7,9,2025-06-24 00:00:00,2025-06-25 00:00:00,3,Ship Name 4,844 Delivery Street,Houston,IL,32266,USA,42.05,6.55,Check,2025-06-26 00:00:00,Order 4 special instructions,0.0522,1,9
5,9,11,2025-06-25 00:00:00,2025-06-28 00:00:00,10,Ship Name 5,6989 Delivery Street,Los Angeles,IL,40842,USA,25.25,94.59,Check,2025-06-29 00:00:00,Order 5 special instructions,0.0501,9,1
6,10,1,2025-09-01 00:00:00,2025-09-04 00:00:00,5,Ship Name 6,3922 Delivery Street,Houston,CA,20813,USA,26.56,31.87,Wire Transfer,2025-09-06 00:00:00,Order 6 special instructions,0.0996,1,8
7,3,12,2025-01-03 00:00:00,2025-01-06 00:00:00,4,Ship Name 7,8633 Delivery Street,New York,IL,81670,USA,45.86,8.15,Credit Card,2025-01-08 00:00:00,Order 7 special instructions,0.0955,9,0
8,2,11,2024-01-06 00:00:00,2024-01-09 00:00:00,4,Ship Name 8,2809 Delivery Street,Chicago,CA,73446,USA,23.13,31.41,Cash,2024-01-07 00:00:00,Order 8 special instructions,0.0972,3,5
9,7,8,2024-07-04 00:00:00,2024-07-08 00:00:00,9,Ship Name 9,4620 Delivery Street,Houston,TX,58735,USA,30.14,70.84,Credit Card,2024-07-07 00:00:00,Order 9 special instructions,0.0720,3,3
10,10,7,2025-06-15 00:00:00,2025-06-21 00:00:00,4,Ship Name 10,767 Delivery Street,Houston,CA,29571,USA,17.00,52.09,Credit Card,2025-06-16 00:00:00,Order 10 special instructions,0.0621,1,3
