id,employee_id,customer_id,order_date,shipped_date,shipper_id,ship_name,ship_address,ship_city,ship_state_province,ship_zip_postal_code,ship_country_region,shipping_fee,taxes,payment_type,paid_date,notes,tax_rate,tax_status_id,status_id,order_year,order_month,order_quarter,order_day_of_week,order_day_name,delivery_days,payment_type_encoded,ship_city_encoded,ship_state_province_encoded,order_day_name_encoded,payment_Cash,payment_Check,payment_Credit Card,payment_Wire Transfer,shipping_fee_standardized,taxes_standardized,tax_rate_standardized,shipping_fee_normalized,taxes_normalized,tax_rate_normalized,total_order_cost,tax_to_shipping_ratio,is_weekend,shipping_category,season
1,3,13,2025-02-20,2025-02-26,3,Ship Name 1,8078 Delivery Street,Houston,NY,45818,USA,15.85,14.35,Check,2025-02-25,Order 1 special instructions,0.0549,4,9,2025,2,1,3,Thursday,6,1,1,3,4,False,True,False,False,-0.9775493057686814,-1.3273725042750448,-1.0632302493034318,0.2459841764564853,0.08541392904073587,0.09677419354838701,30.2,0.9053627760195245,0,Medium,Winter
2,9,7,2024-04-04,2024-04-05,5,Ship Name 2,4084 Delivery Street,Phoenix,CA,73108,USA,29.46,80.01,Check,2024-04-08,Order 2 special instructions,0.0599,6,1,2024,4,2,3,Thursday,1,1,4,1,4,False,True,False,False,0.267330556826767,1.0822065788787207,-0.7810566162611193,0.5722848237832654,0.8044240035041611,0.19758064516129026,109.47,2.7158859470376244,0,Medium,Spring
3,8,9,2025-11-26,2025-12-02,8,Ship Name 3,6422 Delivery Street,Houston,TX,28795,USA,28.68,52.57,Wire Transfer,2025-11-29,Order 3 special instructions,0.0664,9,2,2025,11,4,2,Wednesday,6,3,1,4,6,False,False,False,True,0.19598549489991532,0.07521830532192306,-0.4142308933061135,0.553584272356749,0.5039421813403415,0.3286290322580645,81.25,1.8329846582920748,0,Medium,Fall
4,7,9,2025-06-24,2025-06-25,3,Ship Name 4,844 Delivery Street,Houston,IL,32266,USA,42.05,6.55,Check,2025-06-26,Order 4 special instructions,0.0522,1,9,2025,6,2,1,Tuesday,1,1,1,2,5,False,True,False,False,1.4189130307486397,-1.613615526641773,-1.21560401114628,0.8741309038599856,0.0,0.042338709677419484,48.599999999999994,0.1557669441137794,0,High,Summer
5,9,11,2025-06-25,2025-06-28,10,Ship Name 5,6989 Delivery Street,Los Angeles,IL,40842,USA,25.25,94.59,Check,2025-06-29,Order 5 special instructions,0.0501,9,1,2025,6,2,2,Wednesday,3,1,2,2,6,False,True,False,False,-0.11774984152200879,1.6172608437642202,-1.3341169370240513,0.4713497962119397,0.9640823477879982,0.0,119.84,3.7461386138465502,0,Medium,Summer
6,10,1,2025-09-01,2025-09-04,5,Ship Name 6,3922 Delivery Street,Houston,CA,20813,USA,26.56,31.87,Wire Transfer,2025-09-06,Order 6 special instructions,0.0996,1,8,2025,9,3,0,Monday,3,3,1,1,1,False,False,False,True,0.002073275303857159,-0.684426638651317,1.4594020300948392,0.5027571325821145,0.27726675427069647,0.9979838709677418,58.43,1.199924698790663,0,Medium,Fall
7,3,12,2025-01-03,2025-01-06,4,Ship Name 7,8633 Delivery Street,New York,IL,81670,USA,45.86,8.15,Credit Card,2025-01-08,Order 7 special instructions,0.0955,9,0,2025,1,1,4,Friday,3,2,3,2,0,False,False,True,False,1.7674062178528764,-1.5548990092332136,1.2280196510001435,0.9654759050587391,0.01752080595707403,0.9153225806451613,54.01,0.17771478412521213,0,High,Winter
8,2,11,2024-01-06,2024-01-09,4,Ship Name 8,2809 Delivery Street,Chicago,CA,73446,USA,23.13,31.41,Cash,2024-01-07,Order 8 special instructions,0.0972,3,5,2024,1,1,5,Saturday,3,0,0,1,2,True,False,False,False,-0.31166206111806694,-0.701307637406278,1.3239586862345294,0.4205226564373052,0.2722295225580377,0.9495967741935483,54.54,1.3579766536906273,1,Medium,Winter
9,7,8,2024-07-04,2024-07-08,9,Ship Name 9,4620 Delivery Street,Houston,TX,58735,USA,30.14,70.84,Credit Card,2024-07-07,Order 9 special instructions,0.072,3,3,2024,7,3,3,Thursday,4,2,1,4,4,False,False,True,False,0.3295288159424837,0.7456875384809134,-0.09819642429872417,0.5885878686166388,0.7040078843626806,0.441532258064516,100.98,2.350364963495852,0,High,Summer
10,10,7,2025-06-15,2025-06-21,4,Ship Name 10,767 Delivery Street,Houston,CA,29571,USA,17.0,52.09,Credit Card,2025-06-16,Order 10 special instructions,0.0621,1,3,2025,6,2,6,Sunday,6,2,1,1,3,False,False,True,False,-0.872361073440631,0.057603350099355285,-0.6569002177225018,0.2735555022776313,0.49868593955321944,0.24193548387096775,69.09,3.0641176470408,1,Medium,Summer
11,1,2,2025-02-24,2025-02-28,8,Ship Name 11,4641 Delivery Street,Houston,AZ,58442,USA,13.09,59.08,Credit Card,2025-02-26,Order 11 special instructions,0.0969,4,3,2025,2,1,0,Monday,4,2,1,0,1,False,False,True,False,-1.2300010633560023,0.314121135528,1.307028268251991,0.17981299448573485,0.5752299605781864,0.9435483870967742,72.17,4.5133689839227396,0,Low,Winter
12,1,11,2025-03-23,2025-03-30,7,Ship Name 12,9227 Delivery Street,Phoenix,CA,60818,USA,14.88,21.33,Check,2025-03-27,Order 12 special instructions,0.0862,2,8,2025,3,1,6,Sunday,7,1,4,1,3,False,True,False,False,-1.066273293036689,-1.0712216970802035,0.7031766935414427,0.22272836250299693,0.1618484450284713,0.7278225806451613,36.21,1.4334677419258501,1,Low,Spring
13,2,2,2025-04-19,2025-04-23,1,Ship Name 13,8272 Delivery Street,Los Angeles,AZ,87900,USA,8.77,79.71,Wire Transfer,2025-04-21,Order 13 special instructions,0.0548,5,9,2025,4,2,5,Saturday,4,3,2,0,2,False,False,False,True,-1.6251429447970263,1.0711972318646155,-1.0688737219642777,0.07624070966195157,0.8011388523872096,0.094758064516129,88.47999999999999,9.088939566601038,1,Low,Spring
14,2,11,2025-01-09,2025-01-13,1,Ship Name 14,319 Delivery Street,Los Angeles,NY,98614,USA,33.91,65.6,Cash,2025-01-14,Order 14 special instructions,0.0655,2,1,2025,1,1,3,Thursday,4,0,2,3,4,True,False,False,False,0.6743632819222658,0.5533909439678802,-0.4650221472537296,0.6789738671781347,0.6466272448532631,0.310483870967742,99.50999999999999,1.9345325862520362,0,High,Winter
