id,company,last_name,first_name,email_address,job_title,business_phone,home_phone,mobile_phone,fax_number,address,city,state_province,zip_postal_code,country_region,web_page,notes,attachments
1,Our Company Inc,Thompson,Laura,employee1@ourcompany.com,Manager,(555) 547-7331,(555) 749-8968,(555) 269-4561,(555) 529-2805,2596 Oak Avenue,Dallas,FL,13775,USA,https://www.ourcompany.com/employees/1,Employee since 2023,
2,Our Company Inc,Thompson,Anna,employee2@ourcompany.com,Sales Rep,(555) 644-4056,(555) 350-6096,(555) 544-9591,(555) 794-9173,1653 Oak Avenue,Dallas,CA,43189,USA,https://www.ourcompany.com/employees/2,Employee since 2024,
3,Our Company Inc,Harris,Tom,employee3@ourcompany.com,Sales Rep,(555) 468-9283,(555) 541-8487,(555) 271-7165,(555) 778-2189,9514 Oak Avenue,Austin,PA,45756,USA,https://www.ourcompany.com/employees/3,Employee since 2022,
4,Our Company Inc,White,Tom,employee4@ourcompany.com,Manager,(555) 475-1990,(555) 945-5296,(555) 909-1121,(555) 815-9579,868 Oak Avenue,San Diego,CA,41793,USA,https://www.ourcompany.com/employees/4,Employee since 2024,
5,Our Company Inc,Lee,Laura,employee5@ourcompany.com,Coordinator,(555) 388-9170,(555) 579-3167,(555) 159-9075,(555) 920-8357,9346 Oak Avenue,Miami,TX,70584,USA,https://www.ourcompany.com/employees/5,Employee since 2020,
6,Our Company Inc,Harris,Laura,employee6@ourcompany.com,Supervisor,(555) 448-1560,(555) 761-7666,(555) 592-9412,(555) 336-8895,7165 Oak Avenue,Philadelphia,FL,61585,USA,https://www.ourcompany.com/employees/6,Employee since 2023,
7,Our Company Inc,Harris,Anna,employee7@ourcompany.com,Coordinator,(555) 925-5598,(555) 601-4327,(555) 497-6349,(555) 687-4799,5501 Oak Avenue,Philadelphia,TX,91376,USA,https://www.ourcompany.com/employees/7,Employee since 2021,
8,Our Company Inc,Lee,Steve,employee8@ourcompany.com,Specialist,(555) 653-5845,(555) 173-8372,(555) 117-5816,(555) 208-2970,6580 Oak Avenue,Dallas,PA,34540,USA,https://www.ourcompany.com/employees/8,Employee since 2020,
9,Our Company Inc,Harris,Mark,employee9@ourcompany.com,Sales Rep,(555) 993-4363,(555) 592-1435,(555) 329-5041,(555) 724-5898,4972 Oak Avenue,San Diego,FL,93355,USA,https://www.ourcompany.com/employees/9,Employee since 2022,
10,Our Company Inc,Harris,Laura,employee10@ourcompany.com,Sales Rep,(555) 742-4847,(555) 692-9304,(555) 607-1582,(555) 303-7957,3746 Oak Avenue,Austin,FL,38837,USA,https://www.ourcompany.com/employees/10,Employee since 2021,
